angel,angular_velocity,angular_acc,motor1,motor2,action
-0.6265354,-2.5575893548925417,-1.5455110437930821,0.0,0.0,[-0.6451994]
-0.99374443,-4.587218843445836,-2.029629488553294,0.6451994037093253,0.0,[-0.80063627]
-1.0444038,-0.632861597755446,3.9543572456903897,0.8006362722192883,0.0,[-0.65451651]
-1.1596376,-1.439256914500798,-0.806395316745352,0.6545165106469463,0.0,[-0.59963528]
-1.2871971,-1.5934747839968548,-0.15421786949605676,0.5996352834841594,0.0,[-0.57673449]
-1.3614614,-0.9283017181004038,0.665173065896451,0.5767344853245702,0.0,[-0.57193422]
-1.3754768,-0.17512996588860918,0.7531717522117947,0.5719342232322973,0.0,[-0.64388459]
-1.8233517,-5.595440004289237,-5.420310038400628,0.6438845911321593,0.0,[-3.]
-2.0065467,-2.289148245248168,3.3062917590410694,3.0,0.0,[-0.82015432]
-2.4608815,-5.677565248480515,-3.388417003232347,0.8999999999999999,0.0,[-3.]
-3.0700533,-7.6144059841158676,-1.9368407356353528,3.0,0.0,[-3.]
-3.4137056,-4.292254548703136,3.3221514354127315,3.0,0.0,[-3.]
-3.786247,-4.656730651741783,-0.36447610303864675,3.0,0.0,[-3.]
-4.756195,-12.123314450209046,-7.466583798467263,3.0,0.0,[-3.]
-5.284131,-6.598301498852766,5.525012951356279,3.0,0.0,[-3.]
-8.325838,-37.98933379388792,-31.391032295035156,3.0,0.0,[-3.]
-10.974729,-33.10060747621786,4.888726317670063,3.0,0.0,999
