angel,angular_velocity,angular_acc,motor1,motor2,action
-2.3502007,2.4586774027243443,0.33386435564498074,0.0,0,[0.09208606]
-2.4066541,-0.7056080197155313,-3.1642854224398755,0.0,0.09208605520222264,[0.04425963]
-2.5388856,-1.6518070674430032,-0.9461990477274719,0.0,0.09208605520222264,[0.53158761]
-2.7870235,-3.101505507080532,-1.449698439637529,0.0,0.5315876116318115,[0.79015395]
-3.1370413,-4.3730370079115435,-1.2715315008310113,0.0,0.7901539493423927,[1.80874079]
-3.740663,-7.543547632597483,-3.1705106246859396,0.0,1.8087407925720207,[2.57474508]
-4.5325084,-9.894331056302153,-2.3507834237046703,0.0,2.574745081972656,[2.59859802]
-5.875632,-16.779007878002652,-6.8846768217004986,0.0,2.598598024588373,[2.61039523]
-7.3652444,-18.611743958819886,-1.8327360808172344,0.0,2.6103952292317776,[2.64584123]
-9.584136,-27.72080540910851,-9.109061450288625,0.0,2.645841234286532,[2.61614733]
-12.653713,-38.33935856585569,-10.61855315674718,0.0,2.616147329476085,999
