angel,angular_velocity,angular_acc,motor1,motor2,action
-0.016855882,0.13132164971943244,5.871512275938218,0.0,0.0,[0.06565993 0.        ]
-0.04666943,-0.28712331766038984,-4.02988953464746,0.065659926459287,0.0,[0.05286839 0.        ]
0.017689621,0.6432215652260937,9.298115103665275,0.05286839166478699,0.0,[0.06705576 0.        ]
-0.20093207,-2.0622517671480267,-25.520648295081905,0.06705575935554285,0.0,[0.08872445 0.        ]
-0.47248435,-2.6087746482421843,-5.250389049445936,0.0887244538841265,0.0,[0.08454375 0.        ]
-1.0030372,-5.004013914905004,-22.591171269635982,0.084543748301349,0.0,[0.09536836 0.        ]
-1.8936213,-8.516502319854995,-33.58932106755593,0.09536835539447652,0.0,[0.09884793 0.        ]
-3.2084136,-12.497112898364504,-37.83574084950756,0.09884793082000452,0.0,[0.11311951 0.        ]
-5.0536633,-17.64805757167386,-49.26388578480426,0.11311950969762352,0.0,[0.13804614 0.        ]
-7.816981,-26.739094023601066,-87.96892538894254,0.13804614088085632,0.0,[0.14467286 0.        ]
-12.084257,-40.576868928462126,-131.58125717715768,0.14467286467279314,0.0,[0.1127985 0.       ]
-17.49201,-51.532706415869384,-104.40268957312104,0.11279849551111565,0.0,999
