angel,angular_velocity,angular_acc,motor1,motor2,action
0.57955045,-2.201952524518274,-12.033222985899817,0.0,0.0,[0.47680581 0.        ]
0.5995773,0.2001809996806589,24.01082482729766,0.47680580858088806,0.0,[0.4580966 0.       ]
0.6909585,0.9133642013554605,7.128337786837705,0.4580966031798322,0.0,[0.43915434 0.        ]
0.8428936,1.5183895009721322,6.046424160066821,0.43915434173188284,0.0,[0.37699846 0.02898324]
1.2139528,3.7090301162754673,21.897186403776008,0.37699845975208235,0.028983238753239767,[0.36012162 0.02884781]
1.683326,4.6913878562577445,9.818670761220629,0.36012161847369695,0.02884781119014648,[0.40888178 0.05126618]
2.0443447,3.609105816625194,-10.819580432550039,0.4088817793128945,0.051266184879353194,[0.40274766 0.09784561]
2.984911,9.404797493974526,57.951583514092846,0.40274766423891684,0.09784561163098984,[0.41413383 0.12310326]
4.208443,12.235246153736115,28.304311142501128,0.4141338284038724,0.12310325943131535,[0.45241567 0.16711174]
6.043259,18.34476577323913,61.08389489153953,0.45241567266689764,0.16711173906897855,[0.45174695 0.20114574]
9.041418,29.961116657176145,116.08418762618756,0.45174695243305035,0.20114573792946286,[0.44787293 0.19013848]
13.177299,41.34386127145588,113.78631892371918,0.4478729283667239,0.19013848401431588,[0.47713206 0.167298  ]
18.194702,50.14300078629464,87.93696791357023,0.4771320565684519,0.16729800183130375,999
