angel,angular_velocity,angular_acc,motor1,motor2,action
-0.06367457,-1.7507494751291028,-16.50055383387186,0,0.0,[-0.27816621]
-0.13160773,-0.679244768572818,10.713677939391852,0.0,0.27816620730893515,[-0.13640111]
-0.40911055,-2.7747200680847817,-20.95242511661957,0.0,0.13640110520135962,[-0.16097824]
-0.7352308,-3.2598844137273595,-4.849682448965793,0.0,0.1609782362422021,[-0.05697489]
-1.2637689,-5.283546961694663,-20.229603026840078,0.0,0.05697489388017829,[-0.20044109]
-2.0238132,-7.596918677390527,-23.122988955924995,0.0,0.20044108624993429,[-0.25754485]
-3.1602056,-11.358220478933184,-37.594141638728274,0.0,0.2575448495322302,[-0.32354669]
-4.719726,-14.613104001394042,-30.49908734390557,0.0,0.32354668612412607,[-0.27545804]
-7.5885844,-28.686422131206164,-140.72257922086746,0.0,0.2754580442121669,[0.18748026]
-11.723394,-41.34399912270664,-126.56321710569101,0.18748026456873834,0.06886451105304173,[0.3073073]
-16.92849,-52.02755833267798,-106.78757427242239,0.3073072951657071,0.017216127763260432,999
