angel,angular_velocity,angular_acc,motor1,motor2,action
0.25208116,1.7945596968136588,8.82559276041667,0.0,0.0,[0.02276368 0.        ]
0.35417524,1.0208249896299686,-7.736469081285265,0.02276368178958555,0.0,[0.04367075 0.        ]
0.46725836,1.0728697776470855,0.493771997917495,0.04367075004607307,0.0,[0.02750817 0.        ]
0.8483076,3.6530699649146867,24.736046368058076,0.027508171099906192,0.0,[0.01146881 0.        ]
1.2478169,3.8008712457157894,1.406159063630171,0.011468811817070747,0.0,[0.02417695 0.        ]
2.1144543,8.42658090809197,44.97719463226832,0.024176954934071095,0.0,[0.01936255 0.        ]
3.4916263,12.952573796518042,42.56785439796085,0.019362550435763053,0.0,[0.03828647 0.        ]
5.739866,21.07137829400894,76.09260470338349,0.03828646716792935,0.0,[0. 0.]
9.207158,32.80942937780455,111.07190388551967,0.011485940150378805,0.0,[0. 0.]
13.616117,42.490227885795164,93.29626050682434,0.0034457820451136412,0.0,[0. 0.]
17.911617,41.0188694709809,-14.05038951225586,0.0010337346135340924,0.0,999
