angel,angular_velocity,angular_acc,motor1,motor2,action
-1.0765054,0.9266356712901602,0.8870645937713576,0.0,0,[-0.31476545]
-1.1293681,-0.6605336773209481,-1.5871693486111083,0.31476545333862305,0.0,[-0.37493847]
-1.3393178,-2.624022241491825,-1.9634885641708766,0.3749384731054306,0.0,[-0.57693639]
-1.346024,-0.08362269894877039,2.5403995425430543,0.5769363921135664,0.0,[-0.27729711]
-0.95583564,4.875746674412715,4.959369373361485,0.27729710936546326,0.0,[-0.39056672]
-0.7396249,2.7018072558372337,-2.1739394185754817,0.39056672155857086,0.0,[-0.3230755]
-0.5984773,1.7629860364558982,-0.9388212193813354,0.3230755031108856,0.0,[-0.39895873]
-0.2457013,4.408784347494443,2.6457983110385443,0.3989587277173996,0.0,[-0.3461397]
0.07189045,3.9694985219531675,-0.43928582554127527,0.34613969922065735,0.0,[-0.16398269]
0.5884402,6.454607611227962,2.4851090892747942,0.16398268938064575,0.0,[0.11509335]
1.1688135,7.250869772429406,0.7962621612014438,0.04099567234516144,0.11509335041046143,[0.53725302]
1.654865,6.074636471990464,-1.1762333004389411,0.01024891808629036,0.5372530221939087,[0.72641206]
2.6320407,12.205904951367835,6.13126847937737,0.00256222952157259,0.7264120578765869,[1.05703783]
3.7272213,13.688953523023924,1.4830485716560897,0.0006405573803931475,1.0570378303527832,[1.44736886]
5.4394608,21.386697438951757,7.697743915927832,0.00016013934509828687,1.447368860244751,[1.80379486]
7.4141006,24.66258910970693,3.275891670755172,4.003483627457172e-05,1.8037948608398438,[2.02070546]
9.741807,29.09366907546748,4.431079965760553,1.000870906864293e-05,2.020705461502075,[2.15881848]
10.868853,14.086320645080546,-15.007348430386935,2.5021772671607323e-06,2.158818483352661,999
