angel,angular_velocity,angular_acc,motor1,motor2,action
0.47984564,-2.437284230467924,-0.9184360527886715,0.0,0,[0.9]
0.2882746,-2.29276096149566,0.14452326897226397,0.0,0.8999999999999999,[0.6702271]
0.07405253,-2.5873374477716378,-0.2945764862759779,0.0,0.8999999999999999,[3.]
-0.4331931,-6.125437985310757,-3.5381005375391195,0.0,3.0,[-2.83602515]
-0.7885333,-4.2209738172446505,1.9044641680661067,2.8360251455903267,0.75,[3.]
-1.4669667,-8.196647232840094,-3.975673415595444,0.7090062863975817,3.0,[-2.84278612]
-2.4202433,-11.16026265473881,-2.963615421898716,2.8427861199407696,0.75,[-2.7776084]
-3.297327,-10.118815258172056,1.0414473965667543,2.777608397152454,0.1875,[-2.77019507]
-3.874402,-6.727129718927963,3.3916855392440928,2.7701950686263905,0.046875,[-2.75134407]
-5.896876,-24.428289216025064,-17.701159497097102,2.751344066375222,0.01171875,[-2.69216901]
-8.896288,-36.26293442637127,-11.834645210346203,2.692169014194795,0.0029296875,[-2.74387381]
-11.016372,-24.944880034336016,11.31805439203525,2.7438738074550604,0.000732421875,999
