angel,angular_velocity,angular_acc,motor1,motor2,action
-3.6741302,0.9005173746428398,10.062861593596308,0.0,0.0,[-1.30247902 -1.37135862]
-2.9749513,4.1121060638991525,3.211588689256313,0.0,0.0,[-1.28756224 -1.40165782]
-3.0216508,-0.2752735561882865,-4.387379620087439,0.0,0.0,[-1.36027578 -1.4033395 ]
-3.340746,-1.892778804665259,-1.6175052484769725,0.0,0.0,[-1.37438023 -1.39340413]
-3.430138,-0.5135989238665737,1.3791798807986853,0.0,0.0,[-1.42069797 -1.36550374]
-11.050432,-45.89355200923562,-45.379953085369046,0.0,0.0,[-1.40977472 -1.40183312]
-20.649643,-56.3937899891308,-10.500237979895182,0.0,0.0,999
