angel,angular_velocity,angular_acc,motor1,motor2,action
-0.9000276,0.679920937434859,-0.5883923762213109,0.0,0,[0.0382592]
-1.0962061,-2.450561093357715,-3.130482030792574,0.0,0.038259197837446135,[-0.04273442]
-1.0590924,0.4638936238690682,2.914454717226783,0.042734422512121006,0.009564799459361534,[0.02202616]
-1.1727293,-1.4192734311025088,-1.8831670549715769,0.010683605628030252,0.02202616094837828,[-0.1477739]
-1.320679,-1.8485961541325946,-0.4293227230300858,0.14777390244581626,0.00550654023709457,[0.6301423]
-1.5771506,-3.205363528009535,-1.3567673738769404,0.036943475611454064,0.6301422957854643,[1.45391734]
-1.8497765,-3.4059088621017297,-0.20054533409219477,0.009235868902863516,1.453917338287538,[1.97817798]
-2.543083,-8.664324746291959,-5.258415884190229,0.002308967225715879,1.978177980338817,[2.60211142]
-3.707804,-14.55421191401886,-5.889887167726901,0.0005772418064289698,2.60211141999743,[2.56089508]
-5.653145,-23.10841711744881,-8.55420520342995,0.00014431045160724244,2.5608950797846832,[2.51730791]
-8.658936,-37.56100176972167,-14.452584652272861,3.607761290181061e-05,2.5173079063372903,[2.58535056]
-12.000705,-41.749634373371066,-4.1886326036493955,9.019403225452652e-06,2.5853505634652403,999
