angel,angular_velocity,angular_acc,motor1,motor2,action
-2.8429377,0.06810408523214796,1.871090778595515,0.0,0.0,[-3.]
-3.1411314,-3.726613967707238,-3.794718052939386,3.0,0.0,[-3.]
-3.1771019,-0.4495131572674834,3.2771008104397543,3.0,0.0,[-3.]
-3.4660099,-3.4926703291002057,-3.043157171832722,3.0,0.0,[-3.]
-3.7020564,-2.949380513046613,0.5432898160535928,3.0,0.0,[-3.]
-4.2636013,-7.016411316629082,-4.067030803582469,3.0,0.0,[-3.]
-4.6890535,-5.317460695853248,1.6989506207758334,3.0,0.0,[-3.]
-4.122203,7.080343662055719,12.397804357908967,3.0,0.0,[-3.]
-3.9085515,2.670509981791686,-4.4098336802640326,3.0,0.0,[-3.]
-4.0281267,-1.493161410946506,-4.163671392738192,3.0,0.0,[-3.]
-4.9309273,-11.277925868564877,-9.78476445761837,3.0,0.0,[-3.]
-6.902501,-24.64131827527638,-13.363392406711503,3.0,0.0,[-3.]
-8.908946,-25.06818384915552,-0.4268655738791409,3.0,0.0,[-3.]
-10.941398,-25.37700604007466,-0.3088221909191411,3.0,0.0,999
