angel,angular_velocity,angular_acc,motor1,motor2,action
-1.7063369,-0.41010114849409074,0.28140063413001537,0.0,0,[-2.9586079]
-1.692259,0.17585183023256507,0.5859529787266557,2.9586079025268557,0.0,[0.53947164]
-1.8374196,-1.8134886948855191,-1.9893405251180842,0.7396519756317139,0.5394716358184815,[-0.00995599]
-1.8282942,0.11398934411826897,1.927478039003788,0.22189559268951417,0.13486790895462036,[-2.4971764]
-1.7747204,0.6692852760188004,0.5552959319005314,2.4971763992309572,0.03371697723865509,[0.4295962]
-2.0554807,-3.507144771718736,-4.1764300477375365,0.6242940998077393,0.4295961952209473,[0.34394897]
-2.1758492,-1.5039978551000954,2.0031469166186406,0.15607352495193483,0.3439489698410034,[-1.65573894]
-2.5334961,-4.469512104283054,-2.9655142491829585,1.6557389402389526,0.08598724246025086,[0.82928492]
-2.8368647,-3.7917604112344483,0.6777516930486058,0.41393473505973816,0.8292849159240723,[2.32249928]
-3.7036839,-10.834377821683042,-7.042617410448593,0.10348368376493454,2.3224992847442625,[2.32249928]
-5.202284,-18.72186099155584,-7.887483169872798,0.025870920941233635,2.3224992847442625,[2.32249928]
-6.929651,-21.578923541097666,-2.8570625495418263,0.006467730235308409,2.3224992847442625,[2.32249928]
-9.277347,-29.323504186966208,-7.744580645868542,0.0016169325588271022,2.3224992847442625,[2.32249928]
-12.253816,-37.2027940352592,-7.879289848292995,0.00040423313970677554,2.3224992847442625,999
