angel,angular_velocity,angular_acc,motor1,motor2,action
-0.777033,0.954525282429925,-0.06307018049416035,0.0,0,[0.50181029]
-0.5669189,2.6251608550338688,1.6706355726039437,0.0,0.5018102911070896,[0.8284223]
-0.54465973,0.27814877820612893,-2.34701207682774,0.0,0.8284223027511813,[1.0701322]
-0.48579523,0.7356031218250669,0.457454343618938,0.0,1.0701321982558283,[0.58656397]
-0.58443844,-1.2330376700591574,-1.9686407918842244,0.0,0.5865639659911391,[3.]
-0.78433806,-2.498673089875251,-1.2656354198160935,0.0,3.0,[0.98607225]
-0.95284957,-2.105322967397942,0.39335012247730905,0.0,0.9860722504989294,[1.91953178]
-1.5333935,-7.2558330279001995,-5.150510060502258,0.0,1.9195317835290442,[3.]
-2.503787,-12.12891868213081,-4.87308565423061,0.0,3.0,[3.]
-2.715396,-2.6436481696601435,9.485270512470667,0.0,3.0,[-2.59932577]
-4.34285,-20.328718249583808,-17.685070079923666,2.5993257741435722,0.75,[3.]
-5.378495,-12.941332443528157,7.387385806055651,0.6498314435358931,3.0,[-2.65937629]
-7.0015826,-20.283473716514365,-7.342141272986208,2.6593762868705224,0.75,[3.]
-9.471969,-30.85548630322594,-10.572012586711576,0.6648440717176306,3.0,[3.]
-12.048535,-32.18869588009627,-1.3332095768703276,0.16621101792940765,3.0,999
