angel,angular_velocity,angular_acc,motor1,motor2,action
-0.31219858,-2.9066986822264473,-1.7252871051357213,0.0,0,[0.15071717]
-0.6146943,-3.781121200652062,-0.8744225184256145,0.0,0.15071717415784383,[0.0033251]
-1.0370494,-4.862497804104129,-1.0813766034520675,0.0,0.15071717415784383,[-0.80032831]
-1.7357051,-8.732476189908574,-3.869978385804445,0.8003283096620637,0.03767929353946096,[-3.]
-2.5376186,-10.021449406632959,-1.2889732167243846,3.0,0.00941982338486524,[-3.]
-3.2258894,-8.499087327990768,1.5223620786421908,3.0,0.00235495584621631,[-3.]
-4.1435776,-11.027601500118898,-2.52851417212813,3.0,0.0005887389615540775,[-3.]
-5.4397826,-16.19934388324578,-5.171742383126883,3.0,0.00014718474038851937,[-3.]
-6.0119333,-7.148694942417797,9.050648940827983,3.0,3.679618509712984e-05,[-3.]
-7.3060346,-16.172858781639675,-9.024163839221877,3.0,9.19904627428246e-06,[-3.]
-10.932571,-45.30663926369404,-29.133780482054362,3.0,2.299761568570615e-06,999
