ep,ep_reward,time
481,-240.88054197235,7.060260534286499
482,-366.3663149074317,2.4060275554656982
483,-394.4001504116927,1.9070789813995361
484,-435.0361510048232,1.7266857624053955
485,-301.2350509166523,1.5588183403015137
486,-243.44774500570122,1.4745585918426514
487,-233.52250791578535,1.4718587398529053
488,-474.49471563751786,1.5358285903930664
489,-368.527105842573,1.4527997970581055
490,-405.35598101841407,1.926943302154541
491,-368.4649348740211,1.5315349102020264
492,-383.3986670751605,1.5329833030700684
