ep,ep_reward,time
266,-495.87633674513233,6.489166259765625
267,-322.62802978351317,1.8169326782226562
268,-286.5697214500559,1.8167777061462402
269,-364.0671553729331,1.880605697631836
270,-394.025172538276,2.208707571029663
271,-356.0423547935879,1.5544183254241943
272,-401.8423443696671,1.555769920349121
273,-404.94563909910096,1.6222991943359375
274,-407.46837292058945,1.612269401550293
275,-289.9598947851925,1.6136033535003662
276,-437.1896716940025,1.608337163925171
277,-406.5429520825374,1.7744812965393066
278,-254.2270072303457,1.689011573791504
279,-319.09222864749177,1.533900260925293
280,-264.07077003156337,1.5325300693511963
281,-357.2604751968179,1.5310475826263428
282,-320.63184330413856,1.8535408973693848
283,-245.72962820921626,1.37227201461792
284,-480.8236253495217,1.6916067600250244
285,-344.7517404289796,1.4494459629058838
286,-471.58638268755163,1.6907305717468262
287,-461.20282611497,1.6153326034545898
288,-399.7440065768927,1.7685565948486328
289,-389.5269452186731,1.6193351745605469
290,-354.85140862552555,1.615572214126587
291,-350.9228694277574,1.7718513011932373
