ep,ep_reward,time
206,-418.9240407126933,6.475758075714111
207,-418.0130205201042,1.7185215950012207
208,-324.2145023885841,1.5631730556488037
209,-469.5558109965057,1.7174255847930908
210,-446.3529973784144,2.2992782592773438
211,-420.8952827088615,1.7249372005462646
212,-454.430914413355,1.8917145729064941
213,-427.3086734907756,1.9407532215118408
214,-355.57243660046515,1.6884033679962158
215,-464.886441992908,2.413944959640503
216,-297.8636177021815,1.8511102199554443
217,-466.350321298366,2.0122859477996826
218,-554.4832634706979,1.9344427585601807
