ep,ep_reward,time
188,-249.1299768955888,7.498090982437134
189,-2.731568932825133,2.202594757080078
190,-145.83614646682346,2.0448765754699707
191,-2.9177807073666684,2.852958917617798
192,-20.535219172736305,2.3621113300323486
193,-568.9458710819686,2.3709187507629395
194,-52.7430991777826,1.8854708671569824
195,-107.53393381262762,2.0491466522216797
196,-411.4544122636923,2.0586748123168945
197,-266.55779821502995,2.2063229084014893
198,-7.7043016467978305,1.8921458721160889
199,-643.1017915970112,2.0557594299316406
200,-7.683823025438246,2.128587245941162
201,-43.87925085453057,1.7715635299682617
202,-50.42267193353581,2.1038501262664795
203,-518.6902064479771,2.4703783988952637
204,-254.0027180942354,2.1287190914154053
205,-27.618281025601178,2.2903189659118652
206,-58.05228613675271,2.120706558227539
207,-307.76362872007786,2.1267616748809814
208,-169.6226995862609,1.95452880859375
209,-9.080236276916771,2.123293399810791
210,-378.03852113501387,2.2969274520874023
