ep,ep_reward,time
1,-5029.8376272048645,6.849834680557251
2,-5370.110155361211,1.8974566459655762
3,-4355.597503862033,1.988051414489746
4,-5450.111654128541,1.7922818660736084
5,-7202.047374980625,1.8852474689483643
6,-13109.702992719129,1.9894187450408936
7,-7761.035620274299,1.9889345169067383
8,-9826.190543140312,2.1960108280181885
9,-6112.3752795451965,2.207988739013672
10,-10445.120335966436,1.7896783351898193
11,-14743.597475351442,1.9042420387268066
12,-8742.307297882915,2.0012094974517822
13,-18873.0434805622,2.5042061805725098
14,-10135.917208863486,2.6051883697509766
15,-6710.804464719877,1.8979520797729492
16,-4945.983751608835,1.6844813823699951
17,-14219.478313844043,2.094752073287964
